as_of,domain,linking_pages,target_pages,fit,independence,scraper_or_mirror,portfolio,confidence,public_check,next_action
2026-08-31,legalaiinsights.com,7,5,high,independent_editorial,no,no,medium,https://legalaiinsights.com/tool-evaluations/harvey-ai-enterprise-legal-platform-evaluation,verify_editorial_identity_before_outreach
2026-08-31,vaquill.ai,7,5,high,product_vendor,no,no,high,https://www.vaquill.ai/blog/legal-ai-pricing-benchmark,warm_collaboration_draft
2026-08-31,haqq.ai,6,1,medium,product_vendor,localization_cluster,no,high,Unknown,exclude_from_count_of_unique_editorial_endorsements
2026-08-31,legalrealist.ai,6,5,high,product_vendor,no,no,high,https://legalrealist.ai/posts/03-the-tools/,monitor_and_verify_context
2026-08-31,caserolaw.com,4,4,high,independent_law_firm,no,no,medium,https://caserolaw.com/blog/,verify_exact_context_before_outreach
2026-08-31,hermify.io,4,1,medium,product_vendor,localization_cluster,no,high,Unknown,count_as_one_origin_not_four_endorsements
2026-08-31,awesomeagents.ai,2,2,medium,directory_or_vendor,unknown,no,medium,Unknown,verify_editorial_selection_process
2026-08-31,callings.ai,2,1,medium,product_vendor,unknown,no,low,Unknown,verify_context
2026-08-31,casefleet.com,2,2,high,product_vendor,no,no,high,https://www.casefleet.com/blog,editorial_route_draft
2026-08-31,geckosoft.it,2,1,low,unknown,probable_aggregation,no,low,Unknown,hold
2026-08-31,gridinsoft.com,2,1,low,reputation_service,no,no,high,https://gridinsoft.com/,do_not_treat_as_editorial_authority
2026-08-31,ketrone.io,2,2,medium,product_vendor,unknown,no,medium,Unknown,verify_context
2026-08-31,legaltechmag.com,2,2,high,independent_editorial,no,no,high,https://www.legaltechmag.com/best-legal-ai-tools,verify_channel_then_pitch_dataset
2026-08-31,linkedin.com,2,2,medium,ugc_platform,no,no,high,https://www.linkedin.com/,resolve_author_profiles_in_GSC_export_if_needed
2026-08-31,note.com,2,1,medium,ugc_platform,no,no,high,https://note.com/,resolve_author_and_language
2026-08-31,rational.is,2,1,high,independent_editorial,no,no,medium,https://rational.is/,verify_article_context
2026-08-31,substack.com,2,1,medium,ugc_platform,no,no,high,https://substack.com/,resolve_publication_identity
2026-08-31,upsound.org,2,1,medium,unknown,unknown,no,low,Unknown,verify_context
2026-08-31,ai4everyone.ai,1,1,medium,unknown,unknown,no,low,Unknown,verify_context
2026-08-31,aibaron.co.uk,1,1,medium,independent_editorial,unknown,no,medium,Unknown,verify_context
2026-08-31,aikenhouse.com,1,1,medium,unknown,unknown,no,low,Unknown,verify_context
2026-08-31,aitoolservices.com,1,1,low,directory_or_vendor,unknown,no,medium,Unknown,hold
2026-08-31,alatirok.com,1,1,low,unknown,unknown,no,low,Unknown,hold
2026-08-31,backplain.com,1,1,medium,product_vendor,unknown,no,medium,Unknown,verify_context
2026-08-31,batesonlaw.com,1,1,high,independent_law_firm,no,no,medium,https://batesonlaw.com/,verify_exact_article_and_authorship
2026-08-31,dailyinsight24.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,dev.to,1,1,medium,ugc_platform,no,no,high,https://dev.to/,resolve_author
2026-08-31,dupple.com,1,1,medium,product_vendor,unknown,no,medium,Unknown,verify_context
2026-08-31,findskill.ai,1,1,low,directory_or_vendor,unknown,no,medium,Unknown,hold
2026-08-31,granular.to,1,1,high,independent_consultancy,no,no,high,https://granular.to/,warm_research_collaboration_candidate
2026-08-31,innovatopia.jp,1,1,medium,independent_editorial,unknown,no,medium,Unknown,verify_translation_and_context
2026-08-31,irys.ai,1,1,medium,product_vendor,unknown,no,medium,Unknown,verify_context
2026-08-31,juriscout.com,1,1,high,product_vendor,no,no,medium,https://juriscout.com/,verify_context
2026-08-31,lawfuel.com,1,1,high,independent_editorial,no,no,high,https://www.lawfuel.com/contact-us/,warm_editorial_pitch
2026-08-31,layer3labs.io,1,1,medium,product_vendor,unknown,no,medium,Unknown,verify_context
2026-08-31,medium.com,1,1,medium,ugc_platform,no,no,high,https://medium.com/,resolve_author
2026-08-31,mirnowosti.ru,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,mlq.ai,1,1,medium,independent_editorial_or_vendor,unknown,no,low,Unknown,verify_context
2026-08-31,mylegalacademy.com,1,1,high,independent_education,no,no,medium,https://mylegalacademy.com/,verify_claim_context_before_outreach
2026-08-31,newsbang.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,newspicks.com,1,1,medium,ugc_platform,no,no,high,https://newspicks.com/,resolve_author
2026-08-31,onetwoonetwo.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,pm-linkle.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,proactiveacademy.fr,1,1,medium,independent_education,unknown,no,medium,Unknown,verify_context
2026-08-31,scam-detector.com,1,1,low,reputation_service,no,no,high,https://www.scam-detector.com/,do_not_treat_as_editorial_authority
2026-08-31,scribbright.com,1,1,medium,independent_editorial_or_vendor,unknown,no,low,Unknown,verify_context
2026-08-31,theairankings.com,1,1,low,directory_or_vendor,unknown,no,medium,Unknown,hold
2026-08-31,thestateofbrand.com,1,1,high,independent_editorial,no,no,medium,https://thestateofbrand.com/,verify_article_context
2026-08-31,tistory.com,1,1,medium,ugc_platform,no,no,high,https://www.tistory.com/,resolve_author
2026-08-31,unifuncs.com,1,1,medium,unknown,unknown,no,low,Unknown,verify_context
2026-08-31,w3developing.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,yaeclass.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
2026-08-31,yorozuipsc.com,1,1,low,unknown,probable_aggregation,no,medium,Unknown,hold
