as_of,referring_domain,target_url,gsc_external_links,source_url_status
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal,2,observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/compare/free-legal-ai-tools/,2,observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/best-of/legal-ai-tools-comparison-chart/,1,observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/guides/ai-legal-career-paths-2026/,1,observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,3,observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,1,observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/vlex-vs-westlaw-vs-lexis/,1,observed
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,6,observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,2,observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/cocounsel/,1,observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/luminance-standalone/,1,observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,1,observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/agentic-ai/lexis-protege-vs-cocounsel-vs-harvey/,1,observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/best-of/legal-ai-tools-comparison-chart/,1,observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/compare/best-ai-for-legal-billing/,1,observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/guides/westlaw-vs-lexis-vs-vlex-2026/,1,observed
2026-08-31,hermify.io,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,4,observed
2026-08-31,awesomeagents.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,1,observed
2026-08-31,awesomeagents.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,1,observed
2026-08-31,callings.ai,https://www.aivortex.io/legal/guides/ai-legal-career-paths-2026/,2,observed
2026-08-31,casefleet.com,https://www.aivortex.io/legal/compare/everlaw-pricing-2026/,1,observed
2026-08-31,casefleet.com,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,geckosoft.it,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,2,observed
2026-08-31,gridinsoft.com,https://www.aivortex.io/legal,2,observed
2026-08-31,ketrone.io,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,1,observed
2026-08-31,ketrone.io,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,1,observed
2026-08-31,legaltechmag.com,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,1,observed
2026-08-31,legaltechmag.com,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,linkedin.com,https://www.aivortex.io/legal,1,observed
2026-08-31,linkedin.com,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,1,observed
2026-08-31,note.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,2,observed
2026-08-31,rational.is,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,2,observed
2026-08-31,substack.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,2,observed
2026-08-31,upsound.org,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,2,observed
2026-08-31,ai4everyone.ai,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,aibaron.co.uk,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
