as_of,referring_domain,target_url,source_url,gsc_original_link_url,evidence_status
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal,https://legalaiinsights.com/news-and-analysis/google-tpu-8i-gemini-legal-ai-costs,https://aivortex.io/,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal,https://legalaiinsights.com/tool-evaluations/google-tpu-8i-gemini-legal-ai-costs,https://aivortex.io/,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/compare/free-legal-ai-tools/,https://legalaiinsights.com/comparison-guides/free-chatgpt-legal-ai-comparison,https://aivortex.io/legal/compare/free-legal-ai-tools/,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/compare/free-legal-ai-tools/,https://legalaiinsights.com/tool-evaluations/free-chatgpt-legal-ai-comparison,https://aivortex.io/legal/compare/free-legal-ai-tools/,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://legalaiinsights.com/tool-evaluations/harvey-ai-enterprise-legal-platform-evaluation,Unknown,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/best-of/legal-ai-tools-comparison-chart/,https://legalaiinsights.com/tool-profiles/choose-legal-ai-tool-small-law-firm,Unknown,gsc_observed
2026-08-31,legalaiinsights.com,https://www.aivortex.io/legal/guides/ai-legal-career-paths-2026/,https://legalaiinsights.com/verification-workflows/lawyers-ai-verification-career,Unknown,gsc_observed
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://www.vaquill.ai/blog/best-westlaw-alternatives-solo-small-firms,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://www.vaquill.ai/blog/legal-ai-pricing-benchmark,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://www.vaquill.ai/blog/lexis-plus-ai-pricing,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://www.vaquill.ai/blog/harvey-legora-cocounsel-pricing-reality,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.vaquill.ai/blog/casetext-vs-westlaw-pricing,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,https://www.vaquill.ai/blog/spellbook-pricing,Unknown,gsc_observed_and_public_200
2026-08-31,vaquill.ai,https://www.aivortex.io/legal/compare/vlex-vs-westlaw-vs-lexis/,https://www.vaquill.ai/blog/westlaw-vs-vlex-coverage-ai-pricing,Unknown,gsc_observed_and_public_200
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/ar/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_localization
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_origin
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/es/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_localization
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/fr/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_localization
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/it/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_localization
2026-08-31,haqq.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://www.haqq.ai/pt/blog/lexis-plus-ai-review-vs-westlaw,Unknown,gsc_observed_localization
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://legalrealist.ai/posts/23-the-boutique-law-firm-tech-stack/,Unknown,gsc_observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://legalrealist.ai/posts/25-meet-mike/,Unknown,gsc_observed
